RunID,RunDate,LineID,ProductID,ShiftName,UnitsProduced,DefectUnits,DowntimeMinutes,DefectRatePct
1,2026-04-14,4,3002,Afternoon,4329,111,72.0,2.56
2,2026-06-06,5,3007,Afternoon,3802,184,119.0,4.84
3,2026-06-01,5,3005,Morning,3312,28,66.0,0.85
4,2026-06-23,2,3004,Morning,2544,48,80.0,1.89
5,2026-06-07,2,3005,Afternoon,2217,39,92.0,1.76
6,2026-05-03,2,3007,Afternoon,298,17,76.0,5.7
7,2026-06-27,5,3002,Morning,1102,48,38.0,4.36
8,2026-05-07,3,3013,Night,4505,175,73.0,3.88
9,2026-04-30,3,3010,Afternoon,1827,9,78.0,0.49
10,2026-06-21,5,3015,Morning,3581,54,102.0,1.51
11,2026-05-04,4,3013,Night,3578,142,57.0,3.97
12,2026-04-07,5,3002,Morning,1685,43,60.0,2.55
13,2026-05-13,5,3001,Night,1180,65,60.0,5.51
14,2026-06-11,1,3008,Morning,3520,165,13.0,4.69
15,2026-04-18,2,3009,Afternoon,649,19,10.0,2.93
16,2026-05-12,4,3004,Afternoon,2575,119,2.0,4.62
17,2026-04-12,5,3014,Night,4462,261,79.0,5.85
18,2026-06-01,1,3011,Morning,3614,109,50.0,3.02
19,2026-05-13,2,3014,Night,3868,156,103.0,4.03
20,2026-04-30,3,3002,Afternoon,599,33,84.0,5.51
21,2026-04-21,4,3015,Morning,1159,21,16.0,1.81
22,2026-05-21,1,3003,Afternoon,1520,81,12.0,5.33
23,2026-05-31,4,3008,Night,1603,16,43.0,1.0
24,2026-06-24,2,3008,Afternoon,1131,45,110.0,3.98
25,2026-05-10,2,3015,Morning,4865,233,5.0,4.79
26,2026-04-15,3,3005,Afternoon,991,38,22.0,3.83
27,2026-06-14,3,3004,Afternoon,3599,116,3.0,3.22
28,2026-05-27,4,3006,Morning,3016,117,49.0,3.88
29,2026-06-03,2,3006,Morning,3130,41,118.0,1.31
30,2026-04-09,5,3003,Night,1230,20,82.0,1.63
31,2026-04-29,1,3003,Morning,1676,33,59.0,1.97
32,2026-06-09,5,3004,Afternoon,3111,117,17.0,3.76
33,2026-06-14,1,3008,Night,1635,47,42.0,2.87
34,2026-05-10,4,3006,Morning,3531,65,62.0,1.84
35,2026-06-12,2,3007,Afternoon,389,20,32.0,5.14
36,2026-06-15,2,3013,Morning,549,14,84.0,2.55
37,2026-05-05,1,3004,Night,3696,109,117.0,2.95
38,2026-06-20,4,3017,Afternoon,3160,87,24.0,2.75
39,2026-04-26,1,3014,Night,407,6,30.0,1.47
40,2026-04-22,4,3003,Night,4515,204,15.0,4.52
41,2026-06-01,4,3005,Afternoon,223,6,87.0,2.69
42,2026-05-28,5,3003,Morning,4786,28,55.0,0.59
43,2026-04-13,4,3005,Afternoon,3701,214,34.0,5.78
44,2026-06-14,2,3006,Morning,4943,246,26.0,4.98
45,2026-04-18,4,3002,Afternoon,4754,212,8.0,4.46
46,2026-06-12,5,3000,Morning,1703,89,57.0,5.23
47,2026-04-01,2,3008,Night,3831,210,81.0,5.48
48,2026-06-11,1,3013,Afternoon,1212,28,28.0,2.31
49,2026-06-10,5,3005,Morning,2463,95,0.0,3.86
50,2026-06-10,1,3016,Night,1352,52,56.0,3.85
51,2026-05-30,3,3007,Night,2533,49,81.0,1.93
52,2026-05-13,2,3017,Afternoon,4387,75,41.0,1.71
53,2026-06-03,1,3004,Morning,2293,25,30.0,1.09
54,2026-04-25,4,3010,Afternoon,643,26,18.0,4.04
55,2026-06-10,1,3014,Afternoon,1758,84,89.0,4.78
56,2026-05-21,4,3001,Night,3975,186,103.0,4.68
57,2026-05-12,4,3017,Morning,2704,60,92.0,2.22
58,2026-05-16,1,3006,Night,2888,47,62.0,1.63
59,2026-05-22,1,3009,Morning,2269,67,86.0,2.95
60,2026-04-04,4,3011,Morning,1605,56,47.0,3.49
61,2026-04-13,3,3012,Afternoon,3071,170,2.0,5.54
62,2026-04-23,1,3000,Morning,3238,171,44.0,5.28
63,2026-04-11,5,3016,Afternoon,4510,249,84.0,5.52
64,2026-05-10,2,3011,Afternoon,3165,163,77.0,5.15
65,2026-05-31,1,3018,Morning,4976,288,118.0,5.79
66,2026-05-29,5,3008,Night,4167,127,119.0,3.05
67,2026-05-13,1,3011,Morning,577,4,29.0,0.69
68,2026-06-16,3,3008,Night,2082,19,1.0,0.91
69,2026-05-21,5,3016,Night,2046,54,32.0,2.64
70,2026-04-08,3,3015,Afternoon,214,4,105.0,1.87
71,2026-06-08,3,3017,Morning,1067,15,97.0,1.41
72,2026-05-22,2,3009,Night,3858,221,11.0,5.73
73,2026-05-28,1,3015,Morning,1890,29,19.0,1.53
74,2026-05-21,3,3006,Morning,909,52,67.0,5.72
75,2026-05-20,5,3008,Night,1579,73,79.0,4.62
76,2026-04-09,1,3014,Afternoon,1518,61,117.0,4.02
77,2026-05-21,5,3001,Night,1037,43,90.0,4.15
78,2026-06-11,3,3013,Morning,685,15,25.0,2.19
79,2026-04-28,3,3000,Afternoon,3867,156,4.0,4.03
80,2026-05-25,1,3011,Night,4157,63,76.0,1.52
81,2026-04-03,4,3009,Night,2582,146,66.0,5.65
82,2026-05-02,1,3008,Afternoon,3154,68,110.0,2.16
83,2026-05-10,2,3009,Night,4612,87,69.0,1.89
84,2026-06-28,4,3009,Morning,4244,187,60.0,4.41
85,2026-04-20,1,3007,Afternoon,356,14,36.0,3.93
86,2026-04-25,3,3008,Morning,4774,142,10.0,2.97
87,2026-05-07,3,3010,Night,521,20,105.0,3.84
88,2026-06-29,1,3014,Night,327,4,99.0,1.22
89,2026-06-16,2,3010,Night,2135,89,19.0,4.17
90,2026-04-04,2,3012,Night,3780,75,84.0,1.98
91,2026-04-22,4,3015,Morning,585,11,43.0,1.88
92,2026-06-13,5,3018,Afternoon,1606,22,52.0,1.37
93,2026-04-06,5,3002,Night,1461,34,101.0,2.33
94,2026-06-17,1,3013,Morning,2107,48,101.0,2.28
95,2026-04-26,1,3004,Afternoon,4932,147,22.0,2.98
96,2026-06-22,1,3003,Night,1790,27,36.0,1.51
97,2026-04-27,3,3015,Afternoon,1203,18,98.0,1.5
98,2026-05-10,1,3001,Night,787,27,110.0,3.43
99,2026-05-30,2,3016,Afternoon,1150,13,9.0,1.13
100,2026-04-12,5,3014,Afternoon,839,35,100.0,4.17
101,2026-05-21,5,3018,Afternoon,2953,168,58.0,5.69
102,2026-05-16,5,3012,Afternoon,2218,63,70.0,2.84
103,2026-06-10,2,3016,Night,2590,141,9.0,5.44
104,2026-06-29,4,3002,Night,4194,43,81.0,1.03
105,2026-05-30,4,3016,Morning,2986,21,81.0,0.7
106,2026-05-07,1,3003,Night,944,42,79.0,4.45
107,2026-05-07,3,3005,Afternoon,2008,94,94.0,4.68
108,2026-05-08,3,3002,Afternoon,1700,87,113.0,5.12
109,2026-06-13,2,3007,Morning,4168,33,101.0,0.79
110,2026-04-29,4,3014,Afternoon,1673,79,89.0,4.72
111,2026-04-16,4,3005,Afternoon,865,22,117.0,2.54
112,2026-05-01,3,3015,Afternoon,3732,80,80.0,2.14
113,2026-04-03,4,3011,Morning,2256,32,80.0,1.42
114,2026-04-10,4,3011,Night,660,39,65.0,5.91
115,2026-04-09,3,3017,Afternoon,3510,29,92.0,0.83
116,2026-06-09,2,3008,Afternoon,1210,61,8.0,5.04
117,2026-06-05,4,3006,Morning,4367,175,60.0,4.01
118,2026-06-02,4,3018,Morning,4195,190,51.0,4.53
119,2026-05-12,5,3010,Night,1973,87,109.0,4.41
120,2026-06-04,1,3011,Morning,2866,149,8.0,5.2
121,2026-04-15,3,3005,Night,2925,44,77.0,1.5
122,2026-06-21,5,3004,Night,3336,16,22.0,0.48
123,2026-05-16,3,3003,Afternoon,531,20,106.0,3.77
124,2026-06-24,5,3004,Night,1759,43,102.0,2.44
125,2026-04-14,1,3003,Afternoon,1017,12,28.0,1.18
126,2026-05-15,1,3014,Night,3547,54,104.0,1.52
127,2026-06-02,4,3001,Morning,531,12,59.0,2.26
128,2026-05-15,2,3011,Afternoon,2681,23,116.0,0.86
129,2026-05-11,3,3018,Afternoon,3693,30,87.0,0.81
130,2026-04-15,3,3014,Night,4752,263,4.0,5.53
131,2026-05-05,3,3007,Morning,1582,35,24.0,2.21
